                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1763,                0.86272,                 1.2198,                0.71142,                0.59667,                0.64184,                0.35723,                 1.2236,                0.84656,                 1.3067,              0.0091403,              0.0091403,              0.0091403
                     35,                 1.1833,                0.85624,                 1.2228,                0.57913,                0.55411,                 0.6036,                0.34594,                 1.2153,                0.87318,                  1.314,              0.0091142,              0.0091142,              0.0091142
                     36,                 1.1764,                0.84994,                 1.2143,                0.71708,                0.53091,                0.58358,                0.33644,                  1.204,                0.86303,                  1.292,              0.0090882,              0.0090882,              0.0090882
                     37,                 1.1733,                0.84701,                 1.2173,                0.70543,                0.51255,                0.57028,                0.32251,                 1.2137,                0.88455,                 1.2894,              0.0090621,              0.0090621,              0.0090621
                     38,                 1.1687,                 0.8357,                 1.2098,                0.55446,                0.55503,                0.56864,                0.31977,                 1.2153,                0.86454,                 1.2936,              0.0090361,              0.0090361,              0.0090361
                     39,                 1.1707,                0.83961,                 1.2198,                0.58012,                0.62049,                0.59123,                0.33847,                 1.2208,                0.84463,                 1.2968,                0.00901,                0.00901,                0.00901
                     40,                 1.1452,                0.81723,                 1.1959,                0.55198,                0.56388,                0.57936,                0.33686,                 1.2148,                0.83959,                 1.2918,              0.0089839,              0.0089839,              0.0089839
                     41,                 1.1656,                0.84064,                 1.2169,                0.67799,                0.47733,                0.57828,                0.32829,                 1.2197,                0.83227,                 1.3008,              0.0089579,              0.0089579,              0.0089579
                     42,                 1.1539,                0.82539,                 1.2071,                0.61418,                0.58722,                0.59774,                0.35084,                 1.2049,                 0.8545,                 1.2918,              0.0089318,              0.0089318,              0.0089318
                     43,                 1.1534,                0.81995,                 1.2033,                0.51018,                0.65741,                0.61532,                0.36201,                 1.1916,                0.81131,                 1.2835,              0.0089058,              0.0089058,              0.0089058
                     44,                 1.1583,                0.81688,                 1.2096,                 0.7217,                 0.5096,                0.59951,                0.34305,                 1.2027,                0.81049,                 1.2879,              0.0088797,              0.0088797,              0.0088797
                     45,                 1.1524,                0.81359,                 1.2024,                 0.6364,                0.59509,                0.62361,                0.36842,                 1.1985,                0.80176,                 1.2766,              0.0088537,              0.0088537,              0.0088537
                     46,                 1.1516,                0.81269,                 1.2009,                 0.5459,                0.61475,                0.61281,                0.35653,                 1.1916,                0.79898,                  1.283,              0.0088276,              0.0088276,              0.0088276
                     47,                   1.14,                 0.7991,                 1.1892,                0.63674,                0.57234,                0.61677,                0.35785,                 1.1809,                 0.8038,                 1.2676,              0.0088016,              0.0088016,              0.0088016
                     48,                 1.1336,                0.80151,                 1.1979,                0.65093,                0.63784,                0.65653,                0.38843,                 1.1804,                0.79659,                 1.2723,              0.0087755,              0.0087755,              0.0087755
                     49,                 1.1354,                0.79131,                 1.1897,                0.77699,                0.53077,                0.64598,                0.35854,                 1.1899,                0.78944,                 1.2929,              0.0087495,              0.0087495,              0.0087495
                     50,                 1.1349,                0.78934,                 1.1956,                0.63456,                0.56869,                0.59066,                 0.3491,                 1.1874,                0.82225,                 1.2779,              0.0087234,              0.0087234,              0.0087234
                     51,                 1.1318,                0.78914,                 1.1858,                0.61127,                0.63509,                 0.6319,                0.35626,                 1.1954,                  0.803,                 1.2839,              0.0086974,              0.0086974,              0.0086974
                     52,                 1.1328,                0.78615,                 1.1911,                0.61388,                0.58161,                0.60959,                0.35588,                 1.1998,                0.79161,                 1.2947,              0.0086713,              0.0086713,              0.0086713
                     53,                 1.1228,                 0.7868,                 1.1845,                0.52107,                0.62458,                0.60563,                0.35457,                 1.1809,                0.79515,                 1.2807,              0.0086453,              0.0086453,              0.0086453
                     54,                 1.1315,                0.78141,                 1.1859,                 0.6875,                0.55786,                0.61845,                0.37211,                 1.1837,                0.78496,                 1.2694,              0.0086192,              0.0086192,              0.0086192
                     55,                  1.135,                0.78142,                 1.1925,                0.62507,                0.66279,                0.65583,                0.38142,                 1.1723,                0.76697,                 1.2691,              0.0085932,              0.0085932,              0.0085932
                     56,                 1.1224,                0.77083,                 1.1806,                0.73484,                0.62777,                0.67112,                0.40146,                 1.1692,                0.76372,                 1.2596,              0.0085671,              0.0085671,              0.0085671
                     57,                 1.1224,                0.76481,                 1.1808,                0.69968,                0.57729,                0.64192,                0.37228,                 1.1721,                0.77156,                 1.2765,              0.0085411,              0.0085411,              0.0085411
                     58,                 1.1257,                0.77067,                   1.19,                0.64945,                0.60715,                0.65057,                 0.3789,                 1.1801,                0.77269,                 1.2761,               0.008515,               0.008515,               0.008515
                     59,                 1.1302,                 0.7877,                 1.1952,                0.61063,                  0.628,                0.64532,                0.37142,                 1.1672,                0.76905,                 1.2674,              0.0084889,              0.0084889,              0.0084889
                     60,                 1.1193,                0.77434,                 1.1881,                0.65732,                0.64189,                0.66264,                0.39136,                 1.1839,                0.77344,                 1.2781,              0.0084629,              0.0084629,              0.0084629
                     61,                 1.1281,                0.77921,                 1.1902,                0.71334,                0.58314,                 0.6547,                0.39732,                  1.152,                0.75423,                 1.2483,              0.0084368,              0.0084368,              0.0084368
                     62,                  1.118,                0.76381,                 1.1815,                0.67821,                0.62775,                0.66999,                0.38448,                 1.1743,                0.77303,                  1.275,              0.0084108,              0.0084108,              0.0084108
                     63,                 1.1093,                0.75925,                  1.179,                0.70863,                0.61324,                0.65208,                0.38517,                 1.1842,                0.77104,                 1.2768,              0.0083847,              0.0083847,              0.0083847
                     64,                 1.1144,                0.76285,                 1.1807,                0.70077,                0.57974,                0.65755,                0.38494,                 1.1714,                0.76974,                 1.2708,              0.0083587,              0.0083587,              0.0083587
                     65,                 1.1077,                0.75356,                 1.1789,                0.67304,                0.64112,                0.65864,                0.37165,                 1.1773,                0.76566,                 1.2711,              0.0083326,              0.0083326,              0.0083326
                     66,                  1.104,                0.75123,                 1.1758,                0.66567,                0.61432,                0.66332,                0.39289,                 1.1698,                0.76215,                 1.2692,              0.0083066,              0.0083066,              0.0083066
